"Reference:","B2959029"
"Date:","Wed Jun 09 2021 11:10:44 GMT+0200 (Central European Summer Time)"
"Generated by:","Eurocircuits PCBA Visualizer"

"Reference designators","Quantity","MPN","Manufacturer","Description"
"R6, R7, R10","3","GPR060310K","Generic part","0603, Res 10.0kOhm, 50V, 1.0%, 100mW"
"R2, R4, R5","3","GPR060310K","Generic part","0603, Res 10.0kOhm, 50V, 1.0%, 100mW"
"C21, C26","2","GPC0603105-25","Generic part","1µF ±20% 25V Ceramic Capacitor X5R 0603 (1608 Metric)"
"R9","1","GPR12060R","Generic part","0.0 Ohm Jumper 0.25W, 1/4W Chip Resistor 1206 (3216 Metric) Moisture Resistant Thick Film"
"C2, C4, C5, C7, C25, C29, C31","7","GPC0603106-10","Generic part","10 uF +/- 10% 10 V X5R 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT T&R GP"
"C22, C33","2","GPC06036R8","Generic part","0603, Cap 6.8pF, 50V, 10.0%, C0G"
"C27","1","GPC0603104-25","Generic part","0.1µF ±10% 25V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C1, C3, C6, C8, C20, C28, C30","7","GPC0603104","Generic part","0603, Cap 100.0nF, 50V, 10.0%, X7R"
"R3","1","GPR0603220R","Generic part","0603, Res 220.0Ohm, 50V, 1.0%, 100mW"
"Q1","1","BSS138","Fairchild/ON Semiconductor","N-Channel 50V 220mA (Ta) 360mW (Ta) Surface Mount SOT-23-3"
"U6","1","ESP32-WROOM-32D(M113DH3200PS3Q0)","Espressif Systems","WiFi Modules (802.11) SMD Module ESP32-WROOM-32D, ESP32-D0WD, 32Mbits SPI flash, PCB antenna, -40 C ~ +105 C"
"U3","1","LIS331HHTR","STMicroelectronics","Accelerometer X, Y, Z Axis ±6g, 12g, 24g 25Hz ~ 500Hz 16-LGA (3x3)"
"J1, J2","2","KRE 02","Lumberg","Wire-To-Board Terminal Block, 5 mm, 2 Ways, 4 mm², Screw"
"L1","1","0603DC-5N6XJRW","Coilcraft","Fixed Inductors 0603 5.6nH 1350mA 5% DCR=.046OhmsAEC-Q200"
"MOD1","1","RFM95W-915S2","HOPERF","LORA TRX MODULE +20DBM/-139DBM 3"
"U7","1","STM32L051K8T6","ST Microelectronics","ARM® Cortex®-M0+ STM32L0 Microcontroller IC 32-Bit 32MHz 64KB (64K x 8) FLASH 32-LQFP (7x7)"
"U9","1","ATECC508A-SSHCZ-B","Microchip Technology","IC AUTHENTICATION CHIP 8SOIC"
"PZ1","1","ABI-017-RC","Multicomp","Transducer, Buzzer, SMD, Buzzer, 4 VDC, 7 VDC, 30 mA, 88 dB"
"U5","1","DS28CM00R-A00+T","Maxim Integrated","Silicon Serial Number IC PCB, Network Node, Equipment Identification/Registration SOT-23-5"
"U4","1","G3VM-61HR2(TR05)","Omron","Solid State SPST-NO (1 Form A) 6-SOP (0.173"", 4.40mm)"
"U2","1","R-783.3-1.0","Recom Power","Linear Regulator Replacement DC DC Converter 1 Output 3.3V 1A 4.75V - 18V Input"
"U1","1","INA219BID","Texas Instruments","Current Monitor Regulator High-Side 10mA 8-SOIC"
"AE3","1","1661","Adafruit Industries","Adafruit Accessories uFL SMIT Antenna Connector"
"AE1","1","1661","Adafruit Industries","Adafruit Accessories uFL SMIT Antenna Connector"
"C9","1","GRM188R71E124KA01D","Murata","0.12µF ±10% 25V Ceramic Capacitor X7R 0603 (1608 Metric)"
"Y2","1","MCRJ232000F12300H3H","Multicomp","CRYSTAL, 32KHZ, 12.5PF, CYLINDER"
"R1","1","WSL2512R0400FEA18","Vishay Dale","40 mOhms ±1% 2W Chip Resistor 2512 (6432 Metric) Automotive AEC-Q200, Current Sense, Moisture Resistant, Pulse Withstanding Metal Element"
"BT1","1","3012TR","Keystone Electronics","Battery Retainer Coin, 16.0mm 1 Cell SMD (SMT) Tab"
"MOD2","1","TESEO-LIV3R","ST Microelectronics","series RF Receiver BeiDou, GLONASS, GNSS, GPS 1.561GHz, 1.575MHz -163dBm - - 18-LCC (9.7x10.1)"
