Reference:,B2932497,,,
Date:,Tue May 25 2021 09:31:27 GMT+0100 (British Summer Time),,,
Generated by:,Eurocircuits PCBA Visualizer,,,
,,,,
Reference designators,Quantity,MPN,Manufacturer,Description
"C12, C13",2,GPC0603120,Generic part,"0603, Cap 12.0pF, 50V, 5.0%, C0G"
"C1, C3, C4",3,GPC0603106-10,Generic part,10 uF +/- 10% 10 V X5R 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT T&R GP
C2,1,GPC0603104-25,Generic part,0.1µF ±10% 25V Ceramic Capacitor X7R 0603 (1608 Metric)
R1,1,GPR0603100R,Generic part,"0603, Res 100.0Ohm, 50V, 1.0%, 100mW"
R5,1,GPR06030R,Generic part,"0 Ohms Jumper 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Moisture Resistant Thick Film"
"R3, R4",2,GPR06031K,Generic part,"0603, Res 1.0kOhm, 50V, 1.0%, 100mW"
C5,1,GPC0603475-10,Generic part,4.7µF ±10% 10V Ceramic Capacitor X5R 0603 (1608 Metric)
C9,1,GPC0603101,Generic part,"0603, Cap 100.0pF, 50V, 5.0%, C0G"
con1,1,10118192-0001LF,Amphenol,"USB - micro B USB 2.0 Receptacle Connector 5 Position Surface Mount, Right Angle"
U1,1,MCP73831T-2ACI/OT,Microchip Technology,"Battery Charger for 1 Cell of Li-Ion, Li-Pol battery, 6V input, 4.2V / 500mA charge, SOT-23-5"
L2,1,744025002,Wurth Elektronik,2.2µH Shielded Wirewound Inductor 1.8A 66mOhm Max Nonstandard
R2,1,RC0603FR-071KL,Yageo,"1k Ohm ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Moisture Resistant Thick Film"
"C6, C7, C10",3,CL10B104KO8NNNC,Samsung,0.1µF ±10% 16V Ceramic Capacitor X7R 0603 (1608 Metric)
C8,1,CL10A105KA8NNNC,Samsung,1µF ±10% 25V Ceramic Capacitor X5R 0603 (1608 Metric)
L1,1,BLM18PG600SN1D,Murata,FERRITE BEAD 60 Ohms @ 100MHz 1 Power Line Ferrite Bead 0603 (1608 Metric) 500mA 100mOhm
D1,1,598-8081-107F,Dialight,LED GREEN CLEAR 0603 SMD
AE1,0,not placed,/,/
U3,1,NRF52810-QFAA-T,Nordic Semiconductor,IC RF TxRx + MCU Bluetooth Bluetooth v5.0 2.4GHz 48-VFQFN Exposed Pad
U2,1,TPS63001DRCT,Texas Instruments,Buck-Boost Switching Regulator IC Positive Fixed 3.3V 1 Output 1.6A (Switch) 10-VFDFN Exposed Pad
Y1,1,NX3225SA-32MHZ-EXS00A-CS02368,NDK,"32MHz ±10ppm Crystal 9pF 50 Ohms 4-SMD, No Lead"
"C11, C14",0,Not placed,/,/
BT1,1,PRT-08612,Sparkfun,"JST Right Angle Connector, 2-SMD"
