Ref,Val,Package,PosX,PosY,Rot,Side
"C1","68uF/100V","CAPAE1030X1050D1200L350X90N",148.830000,-81.440000,90.000000,top
"C2","0.1uF","0603",183.320000,-87.810000,0.000000,top
"C3","0.1uF","0603",177.160000,-92.490000,180.000000,top
"C4","68uF/10V","CAPAE1030X1050D1200L350X90N",182.730000,-77.190000,180.000000,top
"C5","0.22uF/100V","CAPAE1030X1050D1200L350X90N",163.310000,-81.530000,90.000000,top
"C6","100nF","0603",184.855000,-109.609608,0.000000,top
"C7","1uF","0603",184.915000,-106.865000,0.000000,top
"C8","6.8pF","0603",173.120000,-120.130000,90.000000,top
"C9","6.8pF","0603",182.400000,-125.290000,0.000000,top
"D2","MBRM5100","DPAK",172.120000,-99.350000,-90.000000,top
"FID1","Fiducial","Fiducial_0.5mm_Mask1.5mm",209.300000,-119.720000,0.000000,top
"FID2","Fiducial","Fiducial_0.5mm_Mask1.5mm",209.320000,-76.340000,180.000000,top
"FID3","Fiducial","Fiducial_0.5mm_Mask1.5mm",115.430000,-76.320000,0.000000,top
"J1","Screw_Terminal_01x02","2pin_screw_vast",203.710000,-109.280000,-90.000000,top
"L1","100uH","DO5022p",193.400000,-102.110000,90.000000,top
"R1","43.5Kohm/1%","0603",171.285000,-80.945000,90.000000,top
"R2","130Kohm/1%","0603",171.285000,-77.285000,90.000000,top
"R3","1Mohm","0603",131.105000,-88.395000,-90.000000,top
"R4","58Kohm","0603",131.060000,-93.630000,-90.000000,top
"R5","900K","0603",129.000000,-113.250000,0.000000,top
"R6","58K","0603",140.175000,-113.275000,0.000000,top
"R7","1K ohm ","0603",160.790000,-124.940000,90.000000,top
"R8","1Kohm","0603",148.880000,-124.890000,90.000000,top
"RV1","100K","3314G-1-201E bourns trimmer",133.140000,-113.235392,0.000000,top
"U1","MAX5035AUSA","soic HV clearance",179.600000,-89.080000,90.000000,top
"U2","TLP3542","TLP3542",163.390000,-117.800000,90.000000,top
"U3","TLP3542","TLP3542",151.480000,-117.370000,90.000000,top
"U4","STM32L052K6Tx","QFP32P80_900X900X160L60X37N",181.160000,-116.828221,0.000000,top
"Y1","32khz","crystal tht",173.130000,-124.740000,90.000000,top
"con1","screw terminal","2pin_screw",123.025000,-87.245000,90.000000,top
"con2","xt60","AMASS_XT60PW-F",116.357696,-104.310000,-90.000000,top
