"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"con2";"AMASS_XT60PW-F";1;"xt60";;;
2;"con1";"2pin_screw";1;"screw terminal";;;
3;"Y1";"crystal tht";1;"32khz";;;
4;"U4";"QFP32P80_900X900X160L60X37N";1;"STM32L052K6Tx";;;
5;"U3,U2";"TLP3542";2;"TLP3542";;;
6;"U1";"soic HV clearance";1;"MAX5035AUSA";;;
7;"RV1";"3314G-1-201E bourns trimmer";1;"100K";;;
8;"R8";"0603";1;"1Kohm";;;
9;"R7";"0603";1;"1K ohm ";;;
10;"R6";"0603";1;"58K";;;
11;"R5";"0603";1;"900K";;;
12;"R4";"0603";1;"58Kohm";;;
13;"R3";"0603";1;"1Mohm";;;
14;"R2";"0603";1;"130Kohm/1%";;;
15;"R1";"0603";1;"43.5Kohm/1%";;;
16;"L1";"DO5022p";1;"100uH";;;
17;"JP1";"SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm";1;"Jumper_2_Open";;;
18;"J1";"2pin_screw_vast";1;"Screw_Terminal_01x02";;;
19;"FID3,FID2,FID1";"Fiducial_0.5mm_Mask1.5mm";3;"Fiducial";;;
20;"D2";"DPAK";1;"MBRM5100";;;
21;"CON1";"Tag-Connect_TC2050-IDC-NL_2x05_P1.27mm_Vertical";1;"jtag";;;
22;"C9,C8";"0603";2;"6.8pF";;;
23;"C7";"0603";1;"1uF";;;
24;"C6";"0603";1;"100nF";;;
25;"C5";"CAPAE1030X1050D1200L350X90N";1;"0.22uF/100V";;;
26;"C4";"CAPAE1030X1050D1200L350X90N";1;"68uF/10V";;;
27;"C3,C2";"0603";2;"0.1uF";;;
28;"C1";"CAPAE1030X1050D1200L350X90N";1;"68uF/100V";;;
